,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,75001,48.8566969,2.3514616,Place de l'Hôtel de Ville – Esplanade de la Libération,48.85692475726913,2.3514118156673676,Plaza
1,75001,48.8566969,2.3514616,Berges de Seine – Rive droite,48.855130568830376,2.352289446225441,Pedestrian Plaza
2,75001,48.8566969,2.3514616,Parc Rives de Seine,48.85551048052973,2.3514188826084137,Park
3,75001,48.8566969,2.3514616,L'Alsacien,48.85827502747949,2.3503806119494897,Alsatian Restaurant
4,75001,48.8566969,2.3514616,Maison Aleph,48.857348,2.354873,Pastry Shop
5,75001,48.8566969,2.3514616,The Body Shop,48.857506542464996,2.352117521536684,Cosmetics Shop
6,75001,48.8566969,2.3514616,Tour Saint-Jacques,48.858030532545826,2.348874807357788,Historic Site
7,75001,48.8566969,2.3514616,Square de la Tour Saint-Jacques,48.857882297703746,2.348756790161133,Park
8,75001,48.8566969,2.3514616,BHV Marais,48.8573123,2.3536331,Department Store
9,75001,48.8566969,2.3514616,Galerie Azzedine Alaïa,48.857544773243966,2.3552169725375203,Art Gallery
10,75001,48.8566969,2.3514616,Fleux',48.85876287681194,2.3541614413261414,Furniture / Home Store
11,75001,48.8566969,2.3514616,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.3537778854370117,Cosmetics Shop
12,75001,48.8566969,2.3514616,Au Bougnat,48.85430198313846,2.350065379156101,Auvergne Restaurant
13,75001,48.8566969,2.3514616,Häagen-Dazs,48.8548703,2.3502584,Ice Cream Shop
14,75001,48.8566969,2.3514616,Bel Canto,48.85463159369966,2.3544932532811624,French Restaurant
15,75001,48.8566969,2.3514616,Tasca,48.856685814693414,2.3563742637634277,Portuguese Restaurant
16,75001,48.8566969,2.3514616,Au Vieux Paris d'Arcole,48.85419569715162,2.3503124713897705,French Restaurant
17,75001,48.8566969,2.3514616,Comme à Lisbonne,48.856767485058,2.356461882401648,Café
18,75001,48.8566969,2.3514616,Aux Merveilleux de Fred,48.85568607650127,2.356368899345398,Dessert Shop
19,75001,48.8566969,2.3514616,Place du Châtelet,48.85771405825988,2.3475036353886267,Plaza
20,75001,48.8566969,2.3514616,Marché aux fleurs Reine Elizabeth II,48.85532574534761,2.3474066194846097,Flower Shop
21,75001,48.8566969,2.3514616,Cathédrale Notre-Dame de Paris,48.85312443201169,2.3495614528656006,Church
22,75001,48.8566969,2.3514616,Le Peloton Café,48.85550466759594,2.3560337163355456,Coffee Shop
23,75001,48.8566969,2.3514616,Galerie Sakura,48.85726430775278,2.356031975867304,Art Gallery
24,75001,48.8566969,2.3514616,Les Pinces,48.85755185997607,2.3563175494829465,Seafood Restaurant
25,75001,48.8566969,2.3514616,Pozzetto,48.85682742435843,2.3562692974557247,Ice Cream Shop
26,75001,48.8566969,2.3514616,Benedict,48.85820815365001,2.3560811411196494,French Restaurant
27,75001,48.8566969,2.3514616,Mariage Frères,48.85776928296051,2.356618019905924,Tea Room
28,75001,48.8566969,2.3514616,Levi's® Store,48.85817700225621,2.355864644050598,Clothing Store
29,75001,48.8566969,2.3514616,Galerie 88,48.854988009024574,2.3538248240947723,Tea Room
30,75001,48.8566969,2.3514616,Lot of Wine,48.85448,2.355695,Wine Bar
31,75001,48.8566969,2.3514616,Résistance,48.858041960048006,2.3566510416688433,Cocktail Bar
32,75001,48.8566969,2.3514616,Pierre Hermé,48.858127142288076,2.356441979666563,Pastry Shop
33,75001,48.8566969,2.3514616,Nature & Découvertes,48.85824916074778,2.3561629743718697,Miscellaneous Shop
34,75001,48.8566969,2.3514616,Comptoir Gourmet,48.859958,2.354374,Restaurant
35,75001,48.8566969,2.3514616,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
36,75001,48.8566969,2.3514616,Hôtel Caron de Beaumarchais,48.856448284087755,2.3567294714314917,Hotel
37,75001,48.8566969,2.3514616,She's Cake,48.85667480506846,2.3563179223128827,Cupcake Shop
38,75001,48.8566969,2.3514616,Théâtre du Châtelet,48.857775,2.3462649,Theater
39,75001,48.8566969,2.3514616,Pamela Popo,48.85574916092363,2.3569190697806426,French Restaurant
40,75001,48.8566969,2.3514616,Les Mots à la Bouche,48.85771855127609,2.3573224499493,Bookstore
41,75001,48.8566969,2.3514616,Tours de la Cathédrale Notre-Dame de Paris,48.85323032415024,2.3492074012756348,Scenic Lookout
42,75001,48.8566969,2.3514616,Centre Pompidou – Musée National d'Art Moderne,48.860729707273954,2.351660414040774,Art Museum
43,75001,48.8566969,2.3514616,Boutique du Centre Pompidou,48.860705743053124,2.3523616790771484,Souvenir Shop
